Case;Maschinenstatus;Verzögerung;vorher Maschinenpause;Vorverarbeitung
9319;Gut;Nein;Nein;nein
9320;Gut;Ja;Nein;nein
9321;Schlecht;Ja;Nein;Ja
9322;Gut;Nein;Nein;nein
9323;Schlecht;Ja;Nein;Ja
9324;Gut;Nein;Nein;nein
9325;Schlecht;Ja;Nein;Ja
9326;Gut;Nein;Nein;nein
9327;Gut;Nein;Nein;nein
9328;Schlecht;Nein;Nein;Ja
9329;Gut;Nein;Ja;nein
9330;Gut;Nein;Ja;nein
9331;Schlecht;Nein;Ja;Ja
9332;Gut;Nein;Nein;nein
9333;Schlecht;Nein;Nein;Ja
9334;Gut;Ja;Nein;nein
9335;Gut;Nein;Nein;nein
9336;Schlecht;Ja;Nein;nein
9337;Gut;Ja;Nein;nein
9338;Gut;Nein;Ja;nein
9339;Schlecht;Ja;Nein;Ja
9340;Gut;Ja;Ja;nein
9341;Gut;Nein;Nein;nein
9342;Gut;Nein;Nein;nein
9343;Schlecht;Nein;Nein;Ja
9344;Schlecht;Ja;Nein;Ja
9345;Gut;Ja;Nein;nein
9346;Gut;Ja;Ja;nein
9347;Gut;Ja;Nein;nein
9348;Gut;Nein;Nein;nein
9349;Schlecht;Ja;Nein;nein
9350;Gut;Ja;Nein;nein
9351;Schlecht;Ja;Nein;Ja
9352;Gut;Nein;Nein;nein
9353;Schlecht;Nein;Ja;Ja
9354;Gut;Ja;Nein;nein
9355;Gut;Nein;Nein;nein
9356;Gut;Ja;Ja;nein
9357;Schlecht;Nein;Nein;Ja
9358;Gut;Nein;Ja;nein
9359;Gut;Ja;Nein;nein
9360;Gut;Ja;Nein;nein
9361;Schlecht;Ja;Nein;Ja
9362;Gut;Nein;Ja;nein
9363;Gut;Ja;Nein;nein
9364;Schlecht;Ja;Nein;nein
9365;Gut;Nein;Nein;nein
9366;Schlecht;Nein;Nein;Ja
9367;Gut;Ja;Nein;nein
9368;Gut;Ja;Ja;nein
9369;Gut;Nein;Nein;nein
9370;Schlecht;Nein;Nein;Ja
9371;Schlecht;Ja;Nein;Ja
9372;Gut;Nein;Nein;nein
9373;Gut;Nein;Nein;nein
9374;Gut;Nein;Nein;nein
9375;Gut;Nein;Ja;nein
9376;Gut;Nein;Nein;nein
9377;Gut;Nein;Nein;nein
9378;Gut;Nein;Ja;nein
9379;Schlecht;Ja;Nein;Ja
9380;Schlecht;Nein;Nein;Ja
9381;Schlecht;Nein;Nein;Ja
9382;Gut;Ja;Nein;nein
9383;Gut;Ja;Nein;nein
9384;Gut;Nein;Nein;nein
9385;Gut;Nein;Ja;Ja
9386;Gut;Nein;Nein;nein
9387;Schlecht;Ja;Nein;Ja
9388;Gut;Ja;Ja;nein
9389;Gut;Nein;Nein;nein
9390;Schlecht;Ja;Nein;Ja
9391;Gut;Nein;Nein;nein
9392;Gut;Nein;Ja;nein
9393;Gut;Ja;Nein;nein
9394;Schlecht;Ja;Nein;Ja
9395;Schlecht;Nein;Ja;Ja
9396;Gut;Ja;Nein;nein
9397;Gut;Ja;Ja;nein
9398;Gut;Ja;Nein;nein
9399;Schlecht;Ja;Nein;nein
9400;Schlecht;Nein;Nein;Ja
9401;Schlecht;Ja;Nein;Ja
9402;Schlecht;Nein;Nein;Ja
9403;Gut;Nein;Ja;nein
9404;Gut;Ja;Nein;nein
9405;Gut;Ja;Ja;nein
9406;Schlecht;Ja;Nein;Ja
9407;Schlecht;Ja;Nein;Ja
9408;Gut;Ja;Nein;nein
9409;Gut;Nein;Nein;nein
9410;Gut;Nein;Ja;nein
9411;Gut;Ja;Nein;nein
9412;Gut;Ja;Nein;nein
9413;Schlecht;Nein;Nein;Ja
9414;Schlecht;Nein;Nein;Ja
9415;Gut;Nein;Nein;nein
9416;Schlecht;Nein;Nein;nein
9417;Schlecht;Ja;Nein;Ja
9418;Schlecht;Ja;Ja;Ja
9419;Gut;Ja;Nein;nein
9420;Gut;Nein;Nein;nein
9421;Gut;Nein;Ja;nein
9422;Gut;Nein;Nein;nein
9423;Gut;Nein;Nein;nein
9424;Gut;Nein;Nein;nein
9425;Gut;Nein;Nein;nein
9426;Gut;Nein;Ja;nein
9427;Gut;Nein;Nein;nein
9428;Gut;Nein;Nein;nein
9429;Schlecht;Ja;Nein;Ja
9430;Gut;Nein;Nein;nein
9431;Gut;Nein;Nein;nein
9432;Gut;Ja;Nein;nein
9433;Gut;Ja;Nein;nein
9434;Gut;Nein;Ja;nein
9435;Gut;Nein;Nein;nein
9436;Schlecht;Ja;Nein;nein
9437;Schlecht;Ja;Nein;Ja
9438;Gut;Nein;Nein;nein
9439;Schlecht;Ja;Nein;Ja
9440;Gut;Nein;Nein;nein
9441;Schlecht;Ja;Nein;nein
9442;Schlecht;Ja;Ja;Ja
9443;Schlecht;Ja;Ja;nein
9444;Gut;Nein;Nein;nein
9445;Gut;Nein;Ja;nein
9446;Schlecht;Ja;Nein;Ja
9447;Schlecht;Ja;Nein;Ja
9448;Gut;Nein;Nein;nein
9449;Gut;Nein;Nein;nein
9450;Gut;Nein;Nein;nein
9451;Schlecht;Nein;Ja;Ja
9452;Gut;Nein;Nein;nein
9453;Gut;Nein;Nein;nein
9454;Gut;Ja;Nein;nein
9455;Gut;Ja;Ja;nein
9456;Gut;Nein;Ja;nein
9457;Gut;Nein;Ja;nein
9458;Schlecht;Ja;Nein;nein
9459;Gut;Nein;Ja;nein
9460;Schlecht;Nein;Nein;Ja
9461;Schlecht;Nein;Nein;Ja
9462;Gut;Nein;Nein;nein
9463;Schlecht;Ja;Nein;Ja
9464;Gut;Nein;Nein;nein
9465;Gut;Ja;Ja;nein
9466;Schlecht;Ja;Nein;Ja
9467;Gut;Nein;Nein;nein
9468;Schlecht;Ja;Nein;Ja
9469;Schlecht;Ja;Nein;Ja
9470;Gut;Nein;Nein;nein
9471;Gut;Nein;Nein;nein
9472;Schlecht;Nein;Nein;Ja
9473;Gut;Nein;Ja;nein
9474;Schlecht;Ja;Nein;Ja
9475;Schlecht;Ja;Nein;Ja
9476;Gut;Nein;Ja;nein
9477;Gut;Nein;Nein;Ja
9478;Gut;Nein;Nein;nein
9479;Schlecht;Ja;Nein;Ja
9480;Gut;Nein;Nein;nein
9481;Gut;Nein;Ja;nein
9482;Gut;Nein;Nein;nein
9483;Gut;Ja;Nein;nein
9484;Gut;Ja;Ja;nein
9485;Gut;Nein;Ja;nein
9486;Schlecht;Nein;Nein;Ja
9487;Gut;Ja;Nein;nein
9488;Gut;Ja;Ja;nein
9489;Gut;Nein;Nein;nein
9490;Gut;Nein;Nein;nein
9491;Gut;Nein;Nein;nein
9492;Gut;Ja;Nein;nein
9493;Gut;Nein;Nein;nein
9494;Gut;Ja;Nein;nein
9495;Schlecht;Nein;Nein;Ja
9496;Schlecht;Nein;Nein;Ja
9497;Gut;Nein;Ja;nein
9498;Schlecht;Nein;Nein;Ja
9499;Gut;Ja;Nein;nein
9500;Schlecht;Ja;Ja;Ja
9501;Gut;Nein;Nein;nein
9502;Gut;Ja;Nein;nein
9503;Gut;Nein;Nein;nein
9504;Schlecht;Nein;Nein;Ja
9505;Gut;Nein;Ja;nein
9506;Gut;Nein;Nein;nein
9507;Schlecht;Ja;Nein;Ja
9508;Gut;Nein;Nein;nein
9509;Schlecht;Ja;Nein;Ja
9510;Schlecht;Nein;Nein;nein
9511;Gut;Ja;Ja;nein
9512;Gut;Nein;Nein;nein
9513;Gut;Nein;Ja;Ja
9514;Gut;Ja;Nein;nein
9515;Schlecht;Nein;Nein;Ja
9516;Gut;Nein;Nein;nein
9517;Gut;Nein;Nein;nein
9518;Schlecht;Ja;Nein;Ja
9519;Gut;Ja;Ja;nein
9520;Gut;Nein;Nein;nein
9521;Gut;Nein;Nein;Ja
9522;Gut;Nein;Nein;nein
9523;Gut;Nein;Nein;nein
9524;Gut;Nein;Nein;nein
9525;Gut;Ja;Ja;nein
9526;Schlecht;Ja;Nein;Ja
9527;Schlecht;Ja;Ja;Ja
9528;Gut;Ja;Nein;nein
9529;Schlecht;Ja;Nein;Ja
9530;Schlecht;Nein;Nein;Ja
9531;Gut;Nein;Ja;nein
9532;Schlecht;Nein;Nein;Ja
9533;Gut;Ja;Ja;nein
9534;Gut;Nein;Nein;nein
9535;Schlecht;Ja;Nein;Ja
9536;Gut;Ja;Ja;nein
9537;Gut;Ja;Ja;nein
9538;Gut;Nein;Nein;nein
9539;Schlecht;Ja;Nein;nein
9540;Gut;Nein;Nein;Ja
9541;Gut;Ja;Ja;nein
9542;Schlecht;Ja;Nein;Ja
9543;Gut;Nein;Ja;nein
9544;Schlecht;Ja;Nein;Ja
9545;Schlecht;Nein;Nein;Ja
9546;Gut;Nein;Nein;nein
9547;Gut;Ja;Nein;nein
9548;Gut;Nein;Nein;Ja
9549;Gut;Nein;Nein;nein
9550;Gut;Ja;Nein;nein
9551;Schlecht;Nein;Nein;Ja
9552;Gut;Nein;Nein;nein
9553;Schlecht;Nein;Nein;Ja
9554;Gut;Nein;Nein;nein
9555;Schlecht;Ja;Nein;Ja
9556;Gut;Nein;Nein;nein
9557;Schlecht;Ja;Nein;nein
9558;Schlecht;Ja;Nein;Ja
9559;Gut;Nein;Nein;nein
9560;Gut;Nein;Nein;nein
9561;Gut;Ja;Nein;nein
9562;Gut;Nein;Ja;nein
9563;Schlecht;Nein;Nein;Ja
9564;Gut;Ja;Nein;nein
9565;Gut;Ja;Nein;nein
9566;Gut;Nein;Nein;nein
9567;Gut;Ja;Nein;nein
9568;Schlecht;Ja;Nein;Ja
9569;Schlecht;Ja;Nein;Ja
9570;Schlecht;Ja;Nein;Ja
9571;Gut;Nein;Ja;nein
9572;Gut;Ja;Ja;nein
9573;Gut;Nein;Ja;nein
9574;Gut;Nein;Ja;Ja
9575;Gut;Ja;Nein;nein
9576;Schlecht;Nein;Nein;Ja
9577;Gut;Ja;Nein;nein
9578;Gut;Nein;Ja;nein
9579;Gut;Nein;Nein;nein
9580;Schlecht;Nein;Nein;Ja
9581;Gut;Ja;Nein;nein
9582;Gut;Ja;Nein;nein
9583;Gut;Ja;Nein;nein
9584;Schlecht;Ja;Nein;Ja
9585;Schlecht;Ja;Nein;Ja
9586;Gut;Nein;Nein;Ja
9587;Gut;Ja;Nein;nein
9588;Gut;Nein;Nein;nein
9589;Gut;Nein;Nein;nein
9590;Gut;Ja;Nein;nein
9591;Schlecht;Nein;Nein;Ja
9592;Gut;Nein;Nein;nein
9593;Schlecht;Nein;Nein;Ja
9594;Schlecht;Ja;Nein;Ja
9595;Gut;Nein;Nein;nein
9596;Schlecht;Nein;Nein;Ja
9597;Schlecht;Nein;Nein;Ja
9598;Schlecht;Ja;Nein;Ja
9599;Gut;Ja;Nein;nein
9600;Gut;Nein;Nein;nein
9601;Gut;Nein;Ja;nein
9602;Schlecht;Nein;Nein;Ja
9603;Gut;Nein;Nein;nein
9604;Gut;Nein;Nein;nein
9605;Schlecht;Nein;Nein;nein
9606;Gut;Nein;Nein;nein
9607;Gut;Nein;Nein;nein
9608;Schlecht;Ja;Nein;Ja
9609;Gut;Ja;Nein;nein
9610;Schlecht;Ja;Nein;Ja
9611;Schlecht;Ja;Nein;Ja
9612;Schlecht;Ja;Nein;nein
9613;Gut;Ja;Nein;nein
9614;Gut;Ja;Nein;nein
9615;Schlecht;Nein;Nein;Ja
9616;Schlecht;Ja;Nein;Ja
9617;Gut;Nein;Nein;nein
9618;Schlecht;Ja;Nein;nein
9619;Gut;Nein;Ja;nein
9620;Gut;Ja;Nein;nein
9621;Schlecht;Ja;Ja;Ja
9622;Gut;Nein;Nein;nein
9623;Gut;Nein;Nein;nein
9624;Schlecht;Nein;Nein;Ja
9625;Gut;Ja;Nein;nein
9626;Gut;Nein;Nein;nein
9627;Gut;Nein;Nein;nein
9628;Gut;Ja;Nein;nein
9629;Gut;Nein;Nein;nein
9630;Gut;Nein;Nein;nein
9631;Gut;Ja;Nein;nein
9632;Schlecht;Ja;Nein;nein
9633;Gut;Ja;Ja;nein
9634;Schlecht;Ja;Nein;Ja
9635;Schlecht;Nein;Nein;Ja
9636;Gut;Nein;Nein;nein
9637;Schlecht;Ja;Nein;Ja
9638;Schlecht;Nein;Ja;Ja
9639;Schlecht;Ja;Nein;Ja
9640;Gut;Nein;Nein;nein
9641;Gut;Nein;Nein;nein
9642;Gut;Nein;Ja;nein
9643;Schlecht;Ja;Nein;Ja
9644;Schlecht;Ja;Ja;nein
9645;Gut;Ja;Nein;nein
9646;Gut;Ja;Nein;nein
9647;Gut;Nein;Nein;nein
9648;Gut;Nein;Ja;nein
9649;Gut;Nein;Nein;nein
9650;Gut;Nein;Nein;nein
9651;Schlecht;Ja;Nein;Ja
9652;Schlecht;Ja;Nein;Ja
9653;Gut;Ja;Nein;nein
9654;Gut;Nein;Nein;Ja
9655;Gut;Nein;Nein;nein
9656;Gut;Ja;Nein;nein
9657;Schlecht;Nein;Nein;Ja
9658;Gut;Ja;Nein;nein
9659;Schlecht;Nein;Nein;Ja
9660;Gut;Nein;Ja;nein
9661;Gut;Nein;Nein;nein
9662;Schlecht;Nein;Ja;nein
9663;Gut;Nein;Nein;nein
9664;Gut;Nein;Nein;nein
9665;Gut;Ja;Ja;nein
9666;Gut;Nein;Nein;nein
9667;Gut;Nein;Nein;nein
9668;Gut;Ja;Nein;nein
9669;Schlecht;Nein;Nein;nein
9670;Schlecht;Ja;Nein;Ja
9671;Gut;Ja;Nein;nein
9672;Gut;Ja;Nein;nein
9673;Schlecht;Nein;Nein;Ja
9674;Gut;Nein;Nein;nein
9675;Gut;Nein;Nein;nein
9676;Gut;Ja;Ja;nein
9677;Schlecht;Nein;Nein;nein
9678;Gut;Ja;Nein;nein
9679;Schlecht;Ja;Nein;Ja
9680;Schlecht;Nein;Nein;Ja
9681;Schlecht;Ja;Nein;nein
9682;Gut;Ja;Nein;nein
9683;Gut;Nein;Nein;nein
9684;Gut;Nein;Ja;nein
9685;Gut;Nein;Nein;nein
9686;Schlecht;Ja;Nein;Ja
9687;Gut;Nein;Nein;nein
9688;Gut;Nein;Ja;nein
9689;Gut;Ja;Ja;nein
9690;Schlecht;Nein;Nein;Ja
9691;Schlecht;Nein;Nein;nein
9692;Schlecht;Nein;Nein;Ja
9693;Gut;Nein;Ja;nein
9694;Schlecht;Nein;Nein;Ja
9695;Gut;Nein;Ja;nein
9696;Schlecht;Ja;Nein;Ja
9697;Schlecht;Ja;Nein;Ja
9698;Gut;Ja;Nein;nein
9699;Gut;Nein;Nein;nein
9700;Gut;Nein;Ja;nein
9701;Gut;Ja;Nein;nein
9702;Gut;Ja;Ja;nein
9703;Gut;Nein;Nein;nein
9704;Schlecht;Ja;Nein;Ja
9705;Schlecht;Nein;Nein;Ja
9706;Schlecht;Ja;Ja;Ja
9707;Gut;Nein;Nein;nein
9708;Schlecht;Ja;Nein;Ja
9709;Schlecht;Nein;Nein;Ja
9710;Schlecht;Ja;Nein;Ja
9711;Gut;Nein;Nein;nein
9712;Schlecht;Nein;Nein;Ja
9713;Gut;Nein;Ja;nein
9714;Schlecht;Nein;Nein;Ja
9715;Schlecht;Nein;Nein;nein
9716;Gut;Nein;Nein;nein
9717;Gut;Nein;Nein;nein
9718;Gut;Nein;Nein;nein
9719;Schlecht;Ja;Nein;Ja
9720;Gut;Nein;Ja;nein
9721;Gut;Nein;Nein;nein
9722;Gut;Ja;Nein;nein
9723;Schlecht;Ja;Nein;Ja
9724;Gut;Ja;Nein;nein
9725;Gut;Nein;Nein;nein
9726;Schlecht;Nein;Nein;Ja
9727;Gut;Nein;Nein;nein
9728;Gut;Ja;Ja;nein
9729;Gut;Nein;Nein;nein
9730;Gut;Ja;Nein;nein
9731;Schlecht;Nein;Nein;Ja
9732;Gut;Nein;Nein;nein
9733;Gut;Nein;Nein;nein
9734;Gut;Nein;Nein;nein
9735;Gut;Nein;Ja;nein
9736;Schlecht;Nein;Nein;Ja
9737;Gut;Nein;Nein;nein
9738;Schlecht;Ja;Nein;Ja
9739;Gut;Ja;Nein;nein
9740;Schlecht;Nein;Nein;Ja
9741;Gut;Nein;Nein;nein
9742;Gut;Ja;Nein;nein
9743;Schlecht;Nein;Nein;Ja
9744;Gut;Nein;Ja;nein
9745;Gut;Ja;Nein;nein
9746;Gut;Ja;Nein;nein
9747;Gut;Ja;Ja;nein
9748;Gut;Nein;Ja;nein
9749;Gut;Ja;Nein;nein
9750;Gut;Nein;Nein;nein
9751;Gut;Ja;Nein;nein
9752;Gut;Nein;Ja;nein
9753;Gut;Ja;Nein;nein
9754;Gut;Ja;Nein;nein
9755;Schlecht;Ja;Nein;Ja
9756;Schlecht;Ja;Nein;nein
9757;Gut;Nein;Nein;nein
9758;Schlecht;Ja;Nein;Ja
9759;Gut;Nein;Nein;nein
9760;Gut;Nein;Ja;Ja
9761;Gut;Nein;Nein;nein
9762;Gut;Ja;Ja;nein
9763;Gut;Nein;Nein;nein
9764;Gut;Nein;Nein;nein
9765;Schlecht;Nein;Nein;Ja
9766;Gut;Nein;Nein;nein
9767;Gut;Ja;Nein;nein
9768;Gut;Ja;Nein;nein
9769;Gut;Ja;Nein;nein
9770;Gut;Ja;Nein;nein
9771;Gut;Nein;Nein;Ja
9772;Gut;Ja;Nein;nein
9773;Gut;Ja;Ja;nein
9774;Gut;Nein;Ja;nein
9775;Gut;Nein;Nein;nein
9776;Schlecht;Nein;Nein;Ja
9777;Gut;Nein;Ja;nein
9778;Gut;Ja;Nein;nein
9779;Gut;Ja;Ja;nein
9780;Gut;Ja;Nein;nein
9781;Gut;Nein;Ja;nein
9782;Schlecht;Ja;Nein;Ja
9783;Schlecht;Nein;Nein;Ja
9784;Gut;Nein;Nein;nein
9785;Gut;Ja;Nein;nein
9786;Gut;Nein;Ja;nein
9787;Gut;Nein;Nein;nein
9788;Gut;Ja;Nein;nein
9789;Gut;Ja;Ja;nein
9790;Gut;Nein;Nein;nein
9791;Gut;Nein;Ja;nein
9792;Gut;Nein;Nein;nein
9793;Gut;Ja;Nein;nein
9794;Schlecht;Ja;Nein;Ja
9795;Gut;Nein;Nein;nein
9796;Gut;Ja;Nein;nein
9797;Schlecht;Nein;Nein;Ja
9798;Schlecht;Nein;Nein;Ja
9799;Schlecht;Ja;Nein;Ja
9800;Schlecht;Nein;Nein;Ja
9801;Gut;Ja;Nein;nein
9802;Gut;Ja;Ja;nein
9803;Schlecht;Nein;Nein;Ja
9804;Gut;Nein;Nein;nein
9805;Gut;Nein;Ja;nein
9806;Gut;Nein;Nein;nein
9807;Gut;Nein;Nein;nein
9808;Gut;Nein;Nein;nein
9809;Gut;Nein;Nein;nein
9810;Gut;Nein;Nein;nein
9811;Schlecht;Nein;Nein;Ja
9812;Gut;Ja;Ja;nein
9813;Gut;Nein;Nein;nein
9814;Schlecht;Ja;Nein;Ja
9815;Schlecht;Nein;Nein;Ja
9816;Gut;Nein;Nein;nein
9817;Schlecht;Ja;Nein;nein
9818;Gut;Nein;Nein;nein
9819;Gut;Ja;Nein;nein
9820;Gut;Nein;Ja;nein
9821;Gut;Ja;Nein;nein
9822;Gut;Ja;Nein;nein
9823;Schlecht;Nein;Ja;Ja
9824;Gut;Nein;Ja;nein
9825;Schlecht;Ja;Nein;Ja
9826;Gut;Nein;Nein;nein
9827;Gut;Ja;Nein;nein
9828;Gut;Ja;Ja;nein
9829;Gut;Ja;Nein;nein
9830;Schlecht;Nein;Nein;Ja
9831;Schlecht;Nein;Nein;nein
9832;Gut;Ja;Ja;nein
9833;Schlecht;Ja;Nein;Ja
9834;Gut;Nein;Nein;nein
9835;Schlecht;Nein;Nein;Ja
9836;Schlecht;Ja;Nein;Ja
9837;Schlecht;Nein;Nein;Ja
9838;Gut;Ja;Ja;nein
9839;Gut;Nein;Nein;nein
9840;Gut;Ja;Nein;nein
9841;Gut;Ja;Nein;nein
9842;Schlecht;Ja;Nein;Ja
9843;Schlecht;Nein;Nein;Ja
9844;Gut;Nein;Ja;nein
9845;Schlecht;Ja;Nein;Ja
9846;Gut;Ja;Nein;nein
9847;Gut;Nein;Nein;nein
9848;Schlecht;Ja;Nein;Ja
9849;Gut;Nein;Nein;nein
9850;Gut;Ja;Ja;nein
9851;Schlecht;Ja;Nein;nein
9852;Schlecht;Nein;Nein;Ja
9853;Schlecht;Ja;Nein;Ja
9854;Gut;Nein;Nein;nein
9855;Gut;Nein;Nein;nein
9856;Gut;Ja;Ja;nein
9857;Gut;Nein;Nein;nein
9858;Gut;Ja;Nein;nein
9859;Gut;Ja;Ja;nein
9860;Schlecht;Ja;Ja;Ja
9861;Schlecht;Nein;Ja;Ja
9862;Gut;Nein;Ja;nein
9863;Gut;Nein;Nein;nein
9864;Schlecht;Ja;Nein;nein
9865;Gut;Ja;Ja;nein
9866;Gut;Ja;Nein;nein
9867;Gut;Nein;Ja;nein
9868;Gut;Nein;Nein;nein
9869;Schlecht;Ja;Nein;Ja
9870;Schlecht;Ja;Nein;nein
9871;Schlecht;Ja;Nein;nein
9872;Gut;Ja;Nein;nein
9873;Schlecht;Ja;Ja;Ja
9874;Schlecht;Nein;Nein;Ja
9875;Schlecht;Ja;Nein;nein
9876;Gut;Nein;Ja;nein
9877;Schlecht;Nein;Nein;nein
9878;Gut;Ja;Ja;nein
9879;Gut;Nein;Nein;nein
9880;Gut;Nein;Nein;nein
9881;Gut;Nein;Nein;nein
9882;Gut;Nein;Nein;nein
9883;Gut;Nein;Nein;nein
9884;Schlecht;Nein;Nein;nein
9885;Gut;Nein;Nein;nein
9886;Schlecht;Ja;Nein;nein
9887;Gut;Nein;Ja;nein
9888;Gut;Nein;Ja;nein
9889;Gut;Nein;Nein;nein
9890;Gut;Nein;Ja;nein
9891;Gut;Ja;Ja;nein
9892;Schlecht;Nein;Nein;Ja
9893;Schlecht;Ja;Nein;Ja
9894;Gut;Nein;Nein;nein
9895;Schlecht;Nein;Nein;Ja
9896;Schlecht;Nein;Nein;Ja
9897;Schlecht;Ja;Nein;Ja
9898;Schlecht;Ja;Ja;Ja
9899;Gut;Nein;Nein;nein
9900;Gut;Ja;Ja;nein
9901;Schlecht;Ja;Nein;Ja
9902;Gut;Nein;Nein;nein
9903;Gut;Ja;Nein;nein
9904;Gut;Nein;Nein;nein
9905;Schlecht;Ja;Nein;Ja
9906;Gut;Nein;Nein;nein
9907;Schlecht;Ja;Nein;Ja
9908;Schlecht;Ja;Nein;Ja
9909;Gut;Nein;Nein;nein
9910;Gut;Nein;Ja;nein
9911;Gut;Ja;Nein;nein
9912;Gut;Ja;Nein;nein
9913;Gut;Nein;Nein;nein
9914;Schlecht;Nein;Nein;Ja
9915;Gut;Nein;Ja;nein
9916;Gut;Nein;Nein;nein
9917;Gut;Ja;Nein;nein
9918;Gut;Nein;Nein;nein
9919;Schlecht;Ja;Nein;Ja
9920;Gut;Ja;Ja;nein
9921;Schlecht;Ja;Nein;Ja
9922;Schlecht;Nein;Nein;Ja
9923;Schlecht;Ja;Nein;Ja
9924;Gut;Ja;Nein;nein
9925;Gut;Nein;Nein;nein
9926;Gut;Nein;Ja;nein
9927;Gut;Nein;Ja;nein
9928;Schlecht;Ja;Nein;Ja
9929;Schlecht;Nein;Nein;Ja
9930;Schlecht;Nein;Nein;Ja
9931;Schlecht;Nein;Nein;Ja
9932;Gut;Ja;Nein;nein
9933;Gut;Nein;Nein;nein
9934;Gut;Ja;Nein;nein
9935;Gut;Ja;Nein;nein
9936;Gut;Nein;Ja;nein
9937;Gut;Nein;Ja;nein
9938;Gut;Ja;Ja;nein
9939;Schlecht;Ja;Nein;Ja
9940;Schlecht;Nein;Nein;nein
9941;Schlecht;Ja;Nein;Ja
9942;Schlecht;Ja;Nein;nein
9943;Gut;Ja;Nein;nein
9944;Gut;Nein;Nein;nein
9945;Schlecht;Ja;Nein;Ja
9946;Schlecht;Nein;Nein;Ja
9947;Gut;Nein;Nein;Ja
9948;Schlecht;Ja;Nein;Ja
9949;Gut;Nein;Nein;nein
9950;Schlecht;Ja;Nein;nein
9951;Gut;Nein;Nein;nein
9952;Schlecht;Nein;Ja;Ja
9953;Gut;Nein;Ja;nein
9954;Gut;Ja;Ja;nein
9955;Gut;Ja;Nein;nein
9956;Gut;Nein;Nein;nein
9957;Schlecht;Ja;Nein;Ja
9958;Gut;Nein;Nein;nein
9959;Gut;Nein;Nein;nein
9960;Gut;Nein;Nein;nein
9961;Gut;Ja;Ja;nein
9962;Gut;Ja;Nein;nein
9963;Schlecht;Ja;Nein;nein
9964;Schlecht;Nein;Nein;Ja
9965;Gut;Ja;Nein;nein
9966;Schlecht;Ja;Nein;nein
9967;Gut;Nein;Ja;nein
9968;Schlecht;Ja;Nein;nein
9969;Gut;Nein;Nein;nein
9970;Schlecht;Ja;Nein;Ja
9971;Gut;Nein;Nein;nein
9972;Schlecht;Ja;Nein;Ja
9973;Gut;Nein;Ja;nein
9974;Gut;Ja;Nein;nein
9975;Gut;Nein;Ja;nein
9976;Schlecht;Nein;Nein;Ja
9977;Gut;Nein;Ja;nein
9978;Schlecht;Nein;Nein;Ja
9979;Gut;Nein;Nein;nein
9980;Gut;Ja;Nein;nein
9981;Gut;Ja;Nein;nein
9982;Gut;Nein;Ja;nein
9983;Schlecht;Ja;Nein;Ja
9984;Gut;Nein;Nein;nein
9985;Schlecht;Ja;Nein;nein
9986;Gut;Ja;Nein;nein
9987;Schlecht;Ja;Ja;Ja
9988;Schlecht;Ja;Nein;Ja
9989;Schlecht;Nein;Nein;Ja
9990;Gut;Ja;Ja;nein
9991;Schlecht;Ja;Nein;nein
9992;Gut;Nein;Ja;nein
9993;Gut;Nein;Nein;nein
9994;Gut;Ja;Ja;nein
9995;Gut;Ja;Nein;nein
9996;Gut;Ja;Nein;nein
9997;Gut;Ja;Nein;nein
9998;Gut;Ja;Ja;nein
9999;Schlecht;Ja;Nein;Ja
10000;Schlecht;Ja;Nein;Ja
10001;Gut;Nein;Nein;nein
10002;Gut;Ja;Nein;nein
10003;Schlecht;Nein;Nein;nein
10004;Schlecht;Nein;Nein;Ja
10005;Schlecht;Nein;Nein;Ja
10006;Gut;Nein;Nein;nein
10007;Gut;Ja;Nein;nein
10008;Gut;Nein;Nein;nein
10009;Schlecht;Nein;Nein;Ja
10010;Schlecht;Ja;Nein;Ja
10011;Schlecht;Ja;Nein;nein
10012;Schlecht;Ja;Nein;Ja
10013;Schlecht;Nein;Nein;Ja
10014;Schlecht;Nein;Nein;Ja
10015;Gut;Ja;Nein;nein
10016;Gut;Nein;Ja;nein
10017;Schlecht;Nein;Nein;nein
10018;Schlecht;Nein;Nein;Ja
10019;Gut;Nein;Nein;nein
10020;Gut;Nein;Nein;nein
10021;Gut;Nein;Nein;nein
10022;Gut;Ja;Nein;nein
10023;Schlecht;Ja;Nein;Ja
10024;Gut;Nein;Nein;nein
10025;Schlecht;Nein;Nein;Ja
10026;Gut;Nein;Ja;nein
10027;Schlecht;Nein;Nein;Ja
10028;Gut;Ja;Nein;nein
10029;Gut;Nein;Ja;nein
10030;Gut;Nein;Nein;nein
10031;Gut;Nein;Nein;nein
10032;Gut;Ja;Nein;nein
10033;Gut;Nein;Nein;nein
10034;Schlecht;Nein;Nein;Ja
10035;Gut;Nein;Nein;nein
10036;Gut;Nein;Nein;nein
10037;Schlecht;Nein;Nein;Ja
10038;Gut;Nein;Nein;nein
10039;Gut;Nein;Nein;nein
10040;Schlecht;Ja;Nein;Ja
10041;Gut;Nein;Nein;nein
10042;Schlecht;Ja;Nein;nein
10043;Schlecht;Nein;Nein;Ja
10044;Schlecht;Ja;Nein;Ja
10045;Gut;Nein;Nein;nein
10046;Gut;Nein;Nein;nein
10047;Schlecht;Ja;Nein;nein
10048;Gut;Nein;Nein;nein
10049;Gut;Nein;Ja;nein
10050;Schlecht;Ja;Nein;nein
10051;Schlecht;Nein;Ja;Ja
